Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
Pengaruh Pupuk NASA Cair Terhadap Pertumbuhan dan Hasil Tanaman Kacang Panjang (Vigna sinensis L.),Penulis : Ach. Ardhowilly ,"Dosen Pembimbing I : Drs. H. Kaswan Badami, M.Si","Dosen Pembimbing II :Dr. Ir. H. Ahmad Arsyadmunir, MS.","Pupuk organik cair yang berasal dari sampah buah-buahan memiliki kandungan unsur makro yang meliputi N, P, K, Ca, Mg, dan S, sedangkan unsur hara mikro meliputi Fe, Mn, Cu, dan Zn, sehingga baik untuk digunakan sebagai unsur hara bagi tanaman, dan dapat memperbaiki sifat fisik dan biologi tanah. Selain pupuk organik asal sampah buah-buahan juga ada pupuk organik cair yang siap diaplikasikan ketanaman, salah satunya adalah Nasa. Pupuk Nasa Cair adalah salah satu jenis pupuk yang bisa diberikan ke daun dan tanah, mengandung unsur hara makro, mikro, vitamin, mineral, asam-asam organik, dan zat pengatur tumbuh Auksin, Giberilin, dan sitokinin. Penelitian ini bertujuan untuk mengetahui pengaruh pemberian pupuk NASA cair terhadap pertumbuhan dan hasil tanaman kacang panjang (vigna sinensis L). Penelitian ini dilaksanakan pada bulan Agustus sampai Oktober 2017 di lahan percobaan BPP Kecamatan Torjun Kabupaten Sampang Madura. Penelitian ini disusun menggunakan Rancangan Acak Kelompok (RAK) non faktorial, terdiri dari 4 blok, di dalam blok dibuat plot-plot baris 5 ulangan. Dalam setiap blok ditempatkan Pupuk Organik Cair (POC0 sebagai kontrol, POC1 dengan dosis 6 cc/liter air, POC2 dengan dosis 8 cc/liter air, POC3 dengan dosis 10 cc/liter air, POC4 dengan dosis 12 cc/liter air). Hasil penelitian menunjukkan bahwa pemberian Pupuk NASA Cair dengan dosis 12 cc/liter air memberikan pengaruh yang berbeda nyata terhadap tinggi tanaman, jumlah cabang, luas daun, panjang polong dan berat biji pertanaman.
Kata Kunci: Kacang Panjang, Pupuk Nasa Cair, Pertumbuhan.
"
PENGARUH PERLAKUAN PANJANG STEK DAN LAMA PERENDAMAN AIR KELAPA (ZPT) TERHADAP PERTUMBUHAN TANAMAN BINAHONG (Anredera cordiofolia (Tenore) Steenis),Penulis : Siti Al Imamah,"Dosen Pembimbing I : Dr. Ir. R. A. Sidqi Zaed ZM, MS.","Dosen Pembimbing II :Dr. Achmad Amzeri, SP., MP.","SITI AL IMAMAH NRP. 14.03.1.1.1.00087. Pengaruh Perlakuan Panjang Stek dan Lama Perendaman Air Kelapa (ZPT) terhadap Pertumbuhan Tanaman Binahong (Anredera cordiofolia (Tenore) Steenis). Dibawah bimbingan Dr. Ir. R. A. Sidqi Zaed ZM, MS. dan Dr. Achmad Amzeri, SP., MP.

ABSTRAK
 Tanaman binahong merupakan salah satu jenis tanaman dalam family Bacellaceae. Manfaat binahong sangat besar dalam dunia pengobatan, yaitu dapat menyembuhkan luka bakar, luka setelah operasi, rematik, asam urat, pembengkakan jantung, tifus, stroke, dan lain-lain. Salah satu kandungan yang terdapat pada daun binahong adalah senyawa flavonoid. Penelitian ini bertujuan untuk mengetahui pengaruh perbedaan panjang stek dan lama perendaman ZPT air kelapa serta interaksi antara kedua perlakuan terhadap pertumbuhan tanaman binahong. Metode penelitian yang digunakan adalah Rancangan Acak Kelompok (RAK) Faktorial. Pengelompokan berdasarkan asal stek, yaitu  K1= pangkal, K2= tengah, dan K3= ujung. Adapun faktor perlakuan ada 2, yaitu: 1) P= panjang stek, meliputi: P1= panjang 10 cm, P2= 15 cm, dan P3= 20 cm, 2) R= lama perendaman, meliputi: R1= tanpa perendaman, R2= direndam 3 jam, dan R3= direndam 4 jam. Uji lanjut yang digunakan adalah Beda Jarak Nyata Duncan (BJND) taraf 5%. Berdasarkan hasil analisis sidik ragam dapat diketahui bahwa perlakuan panjang stek memberikan pengaruh nyata pada parameter tinggi tanaman, jumlah daun, jumlah cabang, dan berat kering dan tidak berbeda nyata pada parameter waktu muncul tunas dan berat basah tanaman binahong. Sedangkan perlakuan lama perendaman stek pada ZPT air kelapa berpengaruh nyata pada semua parameter pengamatan pertumbuhan tanaman binahong kecuali waktu muncul tunas. Interaksi antara kedua perlakuan berpengaruh nyata pada parameter tinggi tanaman, jumlah daun, jumlah cabang, dan berat kering tanaman binahong serta kombinasi P1R1 dan P2R1 cenderung mengasilkan rerata tertinggi. 

Kata Kunci: Binahong, Stek, ZPT.
"
"PENGARUH PUPUK KANDANG AYAM TERHADAP  PERTUMBUHAN TANAMAN SELASIH UNGU 
(Ocimum basilicum L. cv. Dark opal) 
",Penulis : Fauzul Musabikha,"Dosen Pembimbing I : Ir. H.Suhartono, M.P","Dosen Pembimbing II :Dr. Agr. Eko Setiawan, SP., M.Si","FAUZUL MUSABIKHA NIM. 14.03.111.00039. Pengaruh Pupuk Kandang Ayam Terhadap Pertumbuhan Tanaman Selasih Ungu
 (Ocimim basilicum L. cv. dark opal). Dibimbing oleh Ir. H. Suhartono, M. P.
ABSTRAK
Selasih ungu (Ocimim basilicum L. cv. dark opal ) merupakan tanaman yang memiliki banyak manfaat (multimanfaat). salah satu upaya untuk meningkatan pertumbuhan tanaman selasih ungu ialah perbaikan sifat fisik, biologi dan kimia tanah (secara tidak langsung) dengan pengaplikasian pupuk organik kandang ayam. Penelitian ini bertujuan untuk mengetahui pengaruh pemberian pupuk kandang ayam terhadap pertumbuhan selasih ungu (Ocimim basilicum L. cv. dark opal). Penelitian ini dilaksanakan pada bulan Maret sampai juni 2018 di Kebun Percobaan Prodi Agroteknologi Universitas Trunojoyo Madura. Rancangan penelitian menggunakan rancangan acak lengkap dengan 4 perlakuan dosis pupuk kandanga ayam yang terdiri dari P0 (0 g/polybag), P1 (76,3 g/polybag), P2 (152,6 g/polybag) dan P3 (228,9 g/polybag). Data hasil pengamatan dianalisis menggunakan analisis sidik ragam dan dilanjutkan dengan BNJD 5%. Hasil penelitian menunjukkan bahwa pemberian dosis pupuk kandang ayam berpengaruh nyata terhadap parameter tinggi tanaman, jumlah daun, jumlah cabang primer dan umur munculnya bunga. 
Kata kunci : pertumbuhan, tanaman selasih ungu
(Ocimim basilicum L. cv. dark opal), dosis pupuk kandang ayam. 
"
Respon Pertumbuhan dan Hasil Tanaman Kacang Hijau (Phaseolus radiatus L.) pada Pupuk Organik dan Anorganik.,Penulis : Wahyudi Febriyanto,"Dosen Pembimbing I : Ir. Slamet Supriyadi, M.Si","Dosen Pembimbing II :Drs. H. Kaswan Badami, M.Si","ABSTRAK
Kacang hijau (Phaseolus radiatus L.) merupakan salah satu komoditas pertanian yang memiliki prospek sangat baik di kembangkan di Indonesia. Kacang hijau menjadi komoditas tanaman legum terpenting ketiga setelah kedelai dan kacang tanah. Produksi kacang hijau di jawa timur mengalami penurunan 4% pada tahun 2014-2015 hal ini menyebabkan permintaan kacang hijau tidak dapat terpenuhi. Kandungan bahan organik tanah di lahan kering Madura umumnya sangat rendah, menunjukkan bahwa potensi tanah dalam mendukung produksi pertanian kurang optimal. Masalah ini kemungkinan dapat diatasi dengan penggunaan pupuk organik, di samping anorganik, dalam budidaya tanaman kacang hijau. Penelitian ini dilaksanakan di Rumah Plastik Agroteknologi Fakultas Pertanian Universitas Trunojoyo Madura, mulai bulan Januari - Maret 2018. Penelitian disusun dalam Rancangan Acak Lengkap dengan perlakuan terdiri dari A0 (tanpa pupuk), A1 (Urea 0,24 g + SP36 0,32 g + KCl 0,24 g),  A2 (Urea 0,17 g + SP36 0,24 g + KCl 0,17 g + P. Organik 3,4 g), A3 (Urea 0,12 g + SP36 0,16 g + KCl 0,12 g + P. Organik 3,4 g),  A4 (Urea 0,06 g + SP36 0,08 g + KCl 0,06 g + P. Organik 3,4 g), A5 (P. Organik 3,4 g). Data hasil pengamatan dianalisis menggunakan Analisis sidik Ragam dan dilanjutkan dengan Uji Beda Nyata Jarak Duncan pada taraf 5%. Hasil penelitian bahwa perlakuan berpengaruh nyata pada tinggi tanaman, jumlah daun, jumlah polong  dan biji  per tanaman, bobot biji per tanaman, bobot 100 biji, berat basah dan kering brangkasan. Perlakuan A3 merupakan perlakuan yang terbaik diabndingkan tanpa dosis dan dosis anjuran.


Kata Kunci : Kacang Hijau, Pupuk Organik, Pupuk anorganik, Pertumbuhan, Madura
"
Pengaruh Aplikasi Pupuk Organik Cair (POC) NASA Pada Pertumbuhan dan Hasil Tanaman Kacang Hijau (Vigna radiata L.),Penulis : Tri Saptian Wulandari,"Dosen Pembimbing I : Ir. Slamet Supriyadi, M.Si","Dosen Pembimbing II :Dr. Ir. RA Sidqi Zaed ZM, MS","Kacang hijau (Vigna radiata L.) memiliki kandungan gizi yang tinggi yang dapat dijadikan sebagai bahan dasar olahan makanan dan minuman. Selain dimanfaatkan sebagai bahan dasar makanan, tanaman ini juga bermanfaat bagi kesehatan antara lain pencegah penyakit kurang darah (anemia), pengeroposan tulang mengurangi kolestrol dan menjaga kesehatan jantung. Di Indonesia produksi kacang hijau semakin menurun sehingga permintaan kacang hijau belum bisa terpenuhi. Rendahnya hasil produksi ini disebabkan oleh teknik budidaya yang masih belum optimal. Untuk mendapatkan produksi yang optimal kemungkinan dapat dilakukan dengan pencukupan suplai unsur hara melalui pemberian pupuk organik Cair. Penelitian ini dilakukan untuk mengetahui pengaruh pemberian Pupuk Organik Cair (POC) NASA terhadap pertumbuhan dan hasil tanaman kacang hijau. Penelitian dilaksanakan di rumah plastik Universitas Trunojoyo Madura pada bulan Januari-Maret 2018. Perlakuan dalam penelitian disusun dalam Rancangan Acak Lengkap (RAL), yang meliputi konsentrasi Pupuk Organik Cair (POC) NASA yang terdiri dari P0 (0 mL/L air), P1 (2 mL/L air), P2 (4 mL/L air), P3 (8 mL/L air), P4 (16 mL/L air) dan P5 (pupuk standart). Data hasil pengamatan dianalisis menggunakan Analisis Sidik Ragam dan dilanjutkan dengan Uji Beda Nyata Jarak Duncan pada taraf 5%. Hasil penelitian menunjukkan bahwa konsentrasi Pupuk Organik Cair (POC) NASA berpengaruh nyata terhadap parameter tinggi tanaman, jumlah daun, jumlah polong per tanaman, jumah biiji per tanaman, bobot biji per tanaman dan bobot basah brangkasan tetapi tidak berpengaruh nyata terhadap bobot 100 biji dan bobot kering brangkasan. Pemberian Pupuk Organik cair (8 mL/L) mampu meningkatkan pertumbuhan dan hasil tanaman kacang hijau 35% dibandingkan dengan pupuk standart.
Kata kunci : Kacang Hijau, Pupuk Organik Cair (POC) NASA
"
"PENGARUH PEMBERIAN PUPUK SP-36 TERHADAP PERTUMBUHAN DAN HASIL TANAMAN
KACANG TANAH (Arachishypogeae L.)",Penulis : MUDARNO,"Dosen Pembimbing I : Dr. Ir. Raden Achmad Sidqi Zaed Zaenolla, M.S","Dosen Pembimbing II :Drs. H. Kaswan Badami, M, Si.","Kacang tanah merupakan komoditas agrobisnis bernilai ekonomi yang cukup tinggi dan merupakan salah satu sumber protein dalam pola pangan penduduk Indonesia. Kebutuhan kacang tanah dari tahun ketahun terus meningkat sejalan dengan bertambahnya jumlah penduduk. Penelitian ini bertujuan untuk mengetahuai pengaruh pemberian pupuk SP-36 terhadap pertumbuhan dan hasil tanaman kacang tanah. Penelitian ini dilakukan di lahan percobaan kebun Agroekoteknologi Fakultas Pertanian Universitas Trunojoyo Madura, yang berketinggian + 5 mdpl. Peneltian ini dilakukan pada bulan Maret-Mei 2017, musim penghujan. Rancangan yang digunakan ialah (RAK) non factorial yang terdiri 6 perlakuan dengan dosis pupuk SP-36 (100 kg/h, 125 kg/h, 150 kg/h, 175 kg/h, dan 200 kg/h) dengan 3 kali ulangan. Hasil penelitian ini menunjukkan ada perbedaan yang nyata pada parameter saat munculnya bunga, berat basah biji, berat kering biji dan berat 100 biji. Sedangkan pada parameter tinggi tanaman, jumlah daun, berat basah tanaman, berat kering tanaman dan jumlah polong tidak menunjukkan perbedaan yang nyata.
Kata Kunci : Kacang Tanah, Pengaruh Pemberian Pupuk SP-36"
Optimasi Percabangan Terhadap Hasil Kacang Bambara (Vigna subterranea L.),Penulis : Mafrid Sofia Irfiani,"Dosen Pembimbing I : Dr. Ir. Eko Murniyanto, M.P.","Dosen Pembimbing II :Ir. Slamet Supriyadi, M.Si.","ABSTRAK
Pertumbuhan kacang  bambara pada lingkungan tumbuh yang optimal dapat membentuk percabangan yang maksimal, pada gilirannya menghambat pertumbuhan polong dan perkembangannya. Penelitian ini bertujuan untuk mengetahui jumlah cabang optimum yang mengakibatkan pertumbuhan dan hasil kacang bambara paling tinggi. Penelitian dilaksanakan di Kebun Percobaan Program Studi Agroteknologi Fakultas Pertanian Universitas Trunojoyo Madura, bulan Januari hingga Mei 2018. Rancangan penelitian yang digunakan adalah Rancangan Acak Kelompok, 6 ulangan dan uji lanjut BNJD 5%. Perlakuan optimasi percabangan terdiri dari P1 (cabang optimal 80%), P2 (cabang optimal 60%), P3 (cabang optimal 50%) dan P4 (cabang optimal 40%). Hasil penelitian menunjukkan pengaruh nyata umur berbunga, jumlah polong dan jumlah polong cipo per tanaman, bobot polong per tanaman, bobot biji per tanaman dan bobot 100 biji. Perlakuan P3 menunjukkan jumlah percabangan yang optimal karena mengakibatkan hasil tertinggi pada rerata bobot biji per tanaman dan rerata bobot 100 biji serta memperkecil persentase jumlah polong cipo per tanaman.
Kata kunci : Kacang Bambara, optimasi, percabangan, pertumbuhan.
"
EFEKTIVITAS PEMBERIAN ASAP CAIR TEMPURUNG KELAPAUNTUK MENGENDALIKAN PENYAKIT BUSUK COLLETOTRICHUM(Colletotrichum capsici) PADA TANAMAN CABAI (Capsicum annum L) SECARA IN VITRO,Penulis : Fathusyawal H seran,"Dosen Pembimbing I : Ir. Achmad Djunaedy, M.P","Dosen Pembimbing II :Ir. Sinar Suryawati, M.Si. ","ABSTRAK

Asap cair tempurung kelapa merupakan hasil kondensasi dari pirolisis bahan organic yang mengandung selulosa, hamiselulosa dan lignin. Kandungan fenol, karbonil dan asam organic akan bersinergi satu sama lain untuk menghambat pertumbuhan mikroorganisme yang bersifat parasit. Penelitian ini bertujuan yaitu untuk mengetahui pemberian asap cair tempurung kelapa terhadap pertumbuhan cendawan Colletotrichum capsici yang dilakukan secara in vitro Penelitian ini dilaksanakan di Laboratorium Agroteknologi, Fakultas pertanian, Universitas Trunojoyo Madura pada bulan Oktober sampai bulan Desember 2017. Dalam penelitian ini menggunakan sistem Rancangan Acak Lengkap dengan 6 perlakuan yaitu K0 (Tanpa Perlakuan ),K1(Konsentrasi 1%), K2 (Konsentrasi 2%), K3 (Konsentrasi 3%), K4 (Konsentarsi 4%), dan K5 (Konsentrasi 5%). Hasil pengamatan dianalisis menggunakan Analisis sidik ragam (ANSIRA) dan dilanjutkan menggunakan Uji Beda Nyata Terkecil  Uji Beda Nyata Terkecil (BNT) Taraf 5%. Hasil penelitian menunjukkan pemberian asap cair tempurung kelapa berpengaruh  nyata terhadap semua parameter mulai dari pertumbuhan koloni, daya hambat, jumlah spora dan viabilitias spora dari cendawan Colletotrichum. Pada uji lanjut BNT Taraf 5% penggunaan asap cair tempurung kelapa dapat menekan pertumbuhan cendawan Colletotrichum. Pada setiap pertambahan konsentrasi kandunngan zat aktif fungisida yang terdapat dalam asap cair tempurung kelapa mampu mengurangi nilai dari setiap parameter pengamatan.        

Kata Kunci : Asap cair, Tempurung kelapa, Colletotrichum 
"
PENGARUH EKSTRAK DAUN ALANG-ALANG (Imperata cylindrica L.) TERHADAP VIABILITAS DAN PERTUMBUHAN AWAL JAGUNG VARIETAS MADURA 1 DAN MADURA 3,Penulis : Gagas Wilda Firmansyah,"Dosen Pembimbing I : Ir. Achmad Djunaedy, M.P","Dosen Pembimbing II :Drs. H. Kaswan Badami, M.Si","Daun alang-alang (Imperata cylindrica L.) dapat digunakan sebagai mulsa organik yang mendukung pertumbuhan tanaman jagung melalui penghambatan pertumbuhan gulma dan juga menambah bahan organik tanah. Namun alelopati alang-alang dapat beresiko mengnganggu perkecambahan biji jagung. Oleh karena itu evaluasi pengaruh alelopati daun alang-alang perlu dilakukan untuk menghindari efek negatifnya pada tanaman jagung. Tujuan dari penelitian ini adalah untuk mengetahui effek alelopati daung alang-alang terhadap perkecambahan dan pertumbuhan awal biji jagung. Perlakuan pada penelitian ini yaitu pervedaan konsentrasi ekstrak daun alang-alang dan varietas jagung. Konsentrasinya meliputi 0, 7, 14, 21g/ml dan varietas jagung menggunakan Madura 1 and Madura 3. Parameter yang diamati dalam penelitian ini meliputi persentase perkecambahan, laju perkecambahan, panjang tanaman dan panjang akar. Seluruh perlakuan menunjukkan hasil yang significant terhadap semua parameter kecuali laju perkecambahan. Hasil pertumbuhan dan perkecambahan terendah ditunjukkan pada konsentrasi 21g250ml dan varietas Madura 3 menunjukkan hasil yang lebih baik dari Madura 1."
Pertumbuhan Stek Beberapa Varietas Tanaman Tin (Ficus carica L.) Akibat Pemberian Air Kelapa,Penulis : Ahmad Nurhadi,"Dosen Pembimbing I : Dr. Agr. Eko Setiawan, SP., MP","Dosen Pembimbing II :Ir. Sinar Suryawati, M.Si.","Tanaman tin merupakan tanaman yang mampu tumbuh di negara yang beriklim tropis seperti di Indonesia. Tanaman tin mulai banyak digemari masyarakat karena kandungan yang terdapat dalam buah dan daunnya dapat dimanfaatkan sebagai obat herbal. Penelitian ini bertujuan untuk mengetahui laju pertumbuhan stek batang tanaman tin varietas blue giant, brown turkey dan sultane, serta untuk mengetahui konsentrasi air kelapa yang terbaik terhadap pertumbuhan stek batang tanaman tin (Ficus carica L.). Penelitian ini dilaksanakan di kebun percobaan program studi agroteknologi Fakultas Pertanian Universitas Trunojoyo Madura pada bulan Maret sampai dengan Juni 2018 dengan menggunakan Rancangan Acak Lengkap Faktorial (2 faktor). Faktor pertama perbedaan varietas stek batang tanaman dan faktor kedua perbedaan konsentrasi air kelapa yang diulang sebanyak 5 kali. Hasil penelitian menunjukkan bahwa perlakuan berpengaruh nyata terhadap laju pertumbuhan panjang tunas, jumlah daun dan panjang akar, akan tetapi berpengaruh tidak nyata terhadap persentase bibit hidup dan jumlah mata tunas yang tumbuh. Perlakuan konsentrasi air kelapa 50% memberikan nilai rerata tertinggi pada laju pertumbuhan panjang tunas dan panjang akar.

Kata kunci : stek, tanaman tin, air kelapa.
"
Pengaruh Peningkatan Konsentrasi Vitamin Media MS (Murashige & Skoog) Terhadap Pertumbuhan Dua Kultivar Pisang (Musa sp.) Secara in vitro,Penulis : Ryan Andriansyah Saputra,"Dosen Pembimbing I : Ir. Amin Zuchi., MP",Dosen Pembimbing II :Aida Wulansari,"Vitamin merupakan salah satu faktor penentu dalam kultur jaringan, vitamin merupakan sesuatu penting dalam kultur jaringan,meskipun hanya dibutuhkan dalam jumlah yang relatif sedikit. Penelitian ini bertujuan untuk mempelajari pengaruh serta interaksi peningkatan konsentrasi vitamin media MS (Murashige & Skoog) dengan beberapa peningkatan konsentrasi vitamin terhadap pertumbuhan dua kultivar pisang (Musa .sp) secara in vitro. Penelitian ini dilakukan di laboratorium Biak Sel dan Jaringan Tanaman (BSJT) Pusat Penelitian Bioteknologi Lembaga Ilmu Pengetahuan Indonesia (Puslit Biotek LIPI) pada bulan Juni-Agustus 2017 dengan menggunakan Rancangan Acak Lengkap (RAL) faktorial dengan faktor pertama kultivar pisang , yaitu Pisang Kepok (P1) dan Pisang Madu (P2) dan faktor kedua konsentrasi vitamin MS kontrol (V1), konsentrasi vitamin 2 kali (V2), konsentasi vitamin 4 kali (V4) dan konsentrasi vitamin 8 kali (V8). Hasil penelitian menunjukkan peningkatan konsentrasi vitamin hingga 8 kali tidak menunjukan respon yang baik pada tunas pisang kepok dan pisang madu. Hasil menunjukan pada tunas pisang kepok konsentrasi vitamin 4 kali (V4) memberikan respon yang realtif baik pada parameter jumlah anakan,tinggi tunas,jumlah daun dan jumlah akar. Hasil juga menunjukan pada tunas pisang madu konsentrasi vitamin 2 kali (V2) memberikan respon yang relatif baik pada parameter jumlah anakan,tinggi tunas,jumlah daun, dan jumlah akar. "
